,Brand,Year,Model,Distance_in_k,Fuel_type,Transmission_type,Emi_amount,Area,Prices_in_lakhs
188, Hyundai,2019,Creta,45.51k,Petrol,Auto,"19,301"," Kandivali, Mumbai",10.14 lakh
189, Maruti,2018,Ciaz,54.52k,Petrol,Auto,"11,068"," Seawood
",5.66 lakh
190, Maruti,2021,New,057.99k,CNG,Manual,"9,462"," Seawood
",4.84 lakh
191, Honda,2016,Jazz,31.99k,Petrol,Manual,"7,449"," Mulund West, Mumbai 
",3.81 lakh
192, Jeep,2018,Compass,470.44k,Diesel,Manual,"19,415"," Mulund West, Mumbai 
",10.20 lakh
193, Maruti,2016,Baleno,224.21k,Petrol,Manual,"8,739"," Seawood
",4.47 lakh
194, Tata,2021,ALTROZ,44.63k,Petrol,Manual,"13,744"," Kandivali, Mumbai",7.03 lakh
195, KIA,2020,SELTOS,20.11k,Petrol,Manual,"18,901"," Mulund West, Mumbai 
",9.93 lakh
196, Maruti,2021,Baleno,216.86k,Petrol,Manual,"12,180"," Mulund West, Mumbai 
",6.23 lakh
197, Hyundai,2018,Verna,77.09k,Petrol,Auto,"14,702"," Kandivali, Mumbai",7.52 lakh
198, Maruti,2017,Ertiga,51.34k,CNG,Manual,"15,838"," Seawood
",7.12 lakh
199, Mahindra,2017,TUV300,63.95k,Diesel,Manual,"10,166"," Kandivali, Mumbai",5.20 lakh
200, Maruti,2013,Alto,38.21k,Petrol,Manual,"5,829"," Regency Anantam, Dombivli East",1.75 lakh
201, Maruti,2014,Alto,30.59k,Petrol,Manual,"5,082"," Mulund West, Mumbai 
",1.93 lakh
202, Renault,2016,Kwid,54.98k,Petrol,Manual,"4,101"," Mulund West, Mumbai 
",2.10 lakh
203, Datsun,2018,Redi,30.33k,Petrol,Manual,"4,203"," Goregaon, Mumbai",2.15 lakh
204, Renault,2015,Kwid,833.67k,Petrol,Manual,"4,783"," Mulund West, Mumbai 
",2.15 lakh
205, Maruti,2013,Wagon,76.23k,Petrol,Manual,"7,540"," Kandivali, Mumbai",2.27 lakh
206, Toyota,2014,Etios,63.64k,Petrol,Manual,"6,583"," Kandivali, Mumbai",2.50 lakh
207, Volkswagen,2014,Polo,97.25k,Petrol,Manual,"6,715"," Kandivali, Mumbai",2.55 lakh
208, Maruti,2017,Alto,52.28k,Petrol,Manual,"4,985"," Kandivali, Mumbai",2.55 lakh
209, Maruti,2014,Wagon,46.36k,Petrol,Manual,"6,715"," Mulund West, Mumbai 
",2.55 lakh
210, Maruti,2014,Wagon,76.48k,Petrol,Manual,"6,741"," Goregaon, Mumbai",2.56 lakh
211, Maruti,2013,Wagon,28.91k,CNG,Manual,"23,989"," Goregaon, Mumbai",2.70 lakh
212, Renault,2018,Kwid,80.91k,Petrol,Auto,"5,376"," Seawood
",2.75 lakh
213, Maruti,2018,Alto,50.12k,Petrol,Auto,"5,474"," Kandivali, Mumbai",2.80 lakh
214, Maruti,2015,Wagon,34.69k,Petrol,Manual,"6,228"," Regency Anantam, Dombivli East",2.80 lakh
215, Volkswagen,2014,Vento,92.71k,Petrol,Manual,"7,463"," Goregaon, Mumbai",2.83 lakh
216, Renault,2019,Kwid,876.18k,Petrol,Manual,"5,572"," Mulund West, Mumbai 
",2.85 lakh
217, Maruti,2018,Alto,30.94k,Petrol,Manual,"5,572"," Seawood
",2.85 lakh
218, Maruti,2014,Wagon,68.74k,CNG,Manual,"13,416"," Regency Anantam, Dombivli East",2.85 lakh
219, Maruti,2015,Wagon,29.55k,Petrol,Manual,"6,540"," Kandivali, Mumbai",2.94 lakh
220, Hyundai,2023,ALCAZAR,8.94k,Petrol,Auto,"42,256"," Kandivali, Mumbai",22.20 lakh
221, Hyundai,2024,Creta,2.93k,Petrol,Auto,"39,134"," Mulund West, Mumbai 
",20.56 lakh
222, Mahindra,2022,XUV700,21.70k,Petrol,Auto,"30,512"," Mulund West, Mumbai 
",16.03 lakh
223, Tata,2021,Safari,60.72k,Diesel,Auto,"28,819"," Seawood
",15.14 lakh
224, Mahindra,2021,Thar,14.44k,Diesel,Auto,"26,210"," Goregaon, Mumbai",13.77 lakh
225, MG,2021,HECTOR,40.68k,Diesel,Manual,"26,154"," Regency Anantam, Dombivli East",13.74 lakh
226, Skoda,2021,KUSHAQ,32.87k,Petrol,Auto,"25,315"," Kandivali, Mumbai",13.30 lakh
227, Skoda,2022,KUSHAQ,18.07k,Petrol,Auto,"24,839"," Seawood
",13.05 lakh
228, Skoda,2022,KUSHAQ,17.20k,Petrol,Auto,"22,632"," Mulund West, Mumbai 
",11.89 lakh
229, KIA,2020,SELTOS,75.06k,Petrol,Auto,"22,346"," Kandivali, Mumbai",11.74 lakh
230, Skoda,2021,KUSHAQ,25.04k,Petrol,Manual,"21,489"," Goregaon, Mumbai",11.29 lakh
231, Tata,2023,NEXON,27.13k,Diesel,Auto,"21,318"," Mulund West, Mumbai 
",11.20 lakh
232, Tata,2023,NEXON,16.91k,Diesel,Auto,"20,138"," Regency Anantam, Dombivli East",10.58 lakh
233, MG,2019,HECTOR,46.36k,Petrol,Manual,"19,986"," Regency Anantam, Dombivli East",10.50 lakh
234, Jeep,2018,Compass,470.44k,Diesel,Manual,"19,415"," Mulund West, Mumbai 
",10.20 lakh
235, MG,2019,HECTOR,49.48k,Petrol,Auto,"19,377"," Regency Anantam, Dombivli East",10.18 lakh
236, Hyundai,2019,Creta,45.51k,Petrol,Auto,"19,301"," Kandivali, Mumbai",10.14 lakh
237, Tata,2023,NEXON,13.87k,Petrol,Auto,"19,034"," Goregaon, Mumbai",10.00 lakh
238, KIA,2021,SELTOS,46.91k,Petrol,Manual,"18,935"," Regency Anantam, Dombivli East",9.95 lakh
239, KIA,2020,SELTOS,20.11k,Petrol,Manual,"18,901"," Mulund West, Mumbai 
",9.93 lakh
240, Hyundai,2024,Creta,2.93k,Petrol,Auto,"39,134"," Mulund West, Mumbai 
",20.56 lakh
241, Honda,2024,Amaze,3.55k,Petrol,Auto,"16,331"," Goregaon, Mumbai",8.58 lakh
242, Maruti,2023,New,4.48k,Petrol,Auto,"11,535"," Goregaon, Mumbai",5.90 lakh
243, Tata,2024,ALTROZ,4.89k,Petrol,Manual,"15,333"," Goregaon, Mumbai",7.84 lakh
244, Tata,2023,TIGOR,5.04k,CNG,Manual,"12,414"," Seawood
",6.35 lakh
245, Maruti,2017,Swift,6.20k,Petrol,Manual,"8,825"," Goregaon, Mumbai",4.51 lakh
246, Maruti,2017,Celerio,6.69k,Petrol,Auto,"7,585"," Goregaon, Mumbai",3.88 lakh
247, Renault,2021,Kwid,7.71k,Petrol,Manual,"7,488"," Goregaon, Mumbai",3.83 lakh
248, Tata,2023,ALTROZ,8.69k,Petrol,Manual,"15,054"," Mulund West, Mumbai 
",7.70 lakh
249, Hyundai,2023,ALCAZAR,8.94k,Petrol,Auto,"42,256"," Kandivali, Mumbai",22.20 lakh
250, Maruti,2022,IGNIS,9.01k,Petrol,Auto,"11,671"," Goregaon, Mumbai",5.97 lakh
251, Renault,2023,Kwid,9.18k,Petrol,Auto,"8,895"," Regency Anantam, Dombivli East",4.55 lakh
252, KIA,2021,SONET,9.30k,Petrol,Manual,"16,636"," Kandivali, Mumbai",8.74 lakh
253, Hyundai,2015,i10,19.73k,Petrol,Manual,"6,785"," Mulund West, Mumbai 
",3.05 lakh
254, Maruti,2018,Baleno,29.79k,Petrol,Manual,"9,697"," Goregaon, Mumbai",4.96 lakh
255, Maruti,2020,Alto,10.51k,Petrol,Manual,"6,100"," Mulund West, Mumbai 
",3.12 lakh
256, Hyundai,2023,EXTER,11.84k,Petrol,Manual,"14,565"," Seawood
",7.45 lakh
257, Hyundai,2016,Elite,212.01k,Petrol,Manual,"9,149"," Goregaon, Mumbai",4.68 lakh
258, Tata,2022,PUNCH,12.35k,Petrol,Manual,"11,828"," Kandivali, Mumbai",6.05 lakh
259, Tata,2022,ALTROZ,12.71k,Petrol,Auto,"14,917"," Kandivali, Mumbai",7.63 lakh
260, Hyundai,2024,Creta,2.93k,Petrol,Auto,"39,134"," Mulund West, Mumbai 
",20.56 lakh
261, Honda,2024,Amaze,3.55k,Petrol,Auto,"16,331"," Goregaon, Mumbai",8.58 lakh
262, Maruti,2023,New,4.48k,Petrol,Auto,"11,535"," Goregaon, Mumbai",5.90 lakh
263, Tata,2024,ALTROZ,4.89k,Petrol,Manual,"15,333"," Goregaon, Mumbai",7.84 lakh
264, Tata,2023,TIGOR,5.04k,CNG,Manual,"12,414"," Seawood
",6.35 lakh
265, Maruti,2017,Swift,6.20k,Petrol,Manual,"8,825"," Goregaon, Mumbai",4.51 lakh
266, Maruti,2017,Celerio,6.69k,Petrol,Auto,"7,585"," Goregaon, Mumbai",3.88 lakh
267, Renault,2021,Kwid,7.71k,Petrol,Manual,"7,488"," Goregaon, Mumbai",3.83 lakh
268, Tata,2023,ALTROZ,8.69k,Petrol,Manual,"15,054"," Mulund West, Mumbai 
",7.70 lakh
269, Hyundai,2023,ALCAZAR,8.94k,Petrol,Auto,"42,256"," Kandivali, Mumbai",22.20 lakh
270, Maruti,2022,IGNIS,9.01k,Petrol,Auto,"11,671"," Goregaon, Mumbai",5.97 lakh
271, Renault,2023,Kwid,9.18k,Petrol,Auto,"8,895"," Regency Anantam, Dombivli East",4.55 lakh
